index,well_id,easting,northing,depth_tvd_m,porosity_pct,bulk_density_gcc,formation_thickness_m,distance_to_usp_km,temp_harrison,temp_res_c,permeability_md,k_log
1628,BLT-01,141577.55,456881.76,1871.1237946147985,13.59755,2.485935,122.37544947053402,2.032828276,77.54181911833915,79.66670862465342,82.0,4.406719247264253
1629,BLT-01,141577.55,456881.76,1871.1964410571056,13.40033,2.493249,122.37544947053402,2.032828276,77.54476442091733,79.66670862465342,82.0,4.406719247264253
1630,BLT-01,141577.55,456881.76,1871.2690874994137,13.39209,2.497421,122.37544947053402,2.032828276,77.54770969879681,79.66670862465342,82.0,4.406719247264253
1631,BLT-01,141577.55,456881.76,1871.3417339417213,13.55569,2.498194,122.37544947053402,2.032828276,77.55065495197756,79.66670862465342,82.0,4.406719247264253
1632,BLT-01,141577.55,456881.76,1871.414380384029,13.89939,2.494307,122.37544947053402,2.032828276,77.55360018045958,79.66670862465342,82.0,4.406719247264253
1633,BLT-01,141577.55,456881.76,1871.487026826337,14.28076,2.485459,122.37544947053402,2.032828276,77.55654538424288,79.66670862465342,82.0,4.406719247264253
1634,BLT-01,141577.55,456881.76,1871.5596732686445,14.94052,2.467442,122.37544947053402,2.032828276,77.55949056332746,79.66670862465342,82.0,4.406719247264253
1635,BLT-01,141577.55,456881.76,1871.632319710952,15.83281,2.442293,122.37544947053402,2.032828276,77.56243571771329,79.66670862465342,82.0,4.406719247264253
1636,BLT-01,141577.55,456881.76,1871.70496615326,16.77121,2.415867,122.37544947053402,2.032828276,77.56538084740042,79.66670862465342,82.0,4.406719247264253
1637,BLT-01,141577.55,456881.76,1871.7776125955663,17.36688,2.397303,122.37544947053402,2.032828276,77.56832595238876,79.66670862465342,82.0,4.406719247264253
1638,BLT-01,141577.55,456881.76,1871.8502590378744,18.09434,2.379594,122.37544947053402,2.032828276,77.57127103267844,79.66670862465342,82.0,4.406719247264253
1639,BLT-01,141577.55,456881.76,1871.922905480182,18.85411,2.364069,122.37544947053402,2.032828276,77.57421608826938,79.66670862465342,82.0,4.406719247264253
1640,BLT-01,141577.55,456881.76,1871.9955519224893,19.46854,2.353097,122.37544947053402,2.032828276,77.57716111916157,79.66670862465342,82.0,4.406719247264253
1641,BLT-01,141577.55,456881.76,1872.0681983647971,19.73679,2.347836,122.37544947053402,2.032828276,77.58010612535507,79.66670862465342,82.0,4.406719247264253
1642,BLT-01,141577.55,456881.76,1872.140844807105,20.08812,2.341743,122.37544947053402,2.032828276,77.58305110684982,79.66670862465342,82.0,4.406719247264253
1643,BLT-01,141577.55,456881.76,1872.2134912494128,20.42888,2.336351,122.37544947053402,2.032828276,77.58599606364587,79.66670862465342,82.0,4.406719247264253
1644,BLT-01,141577.55,456881.76,1872.2861376917208,20.67904,2.333116,122.37544947053402,2.032828276,77.5889409957432,79.66670862465342,82.0,4.406719247264253
1645,BLT-01,141577.55,456881.76,1872.358784134028,20.84678,2.334329,122.37544947053402,2.032828276,77.59188590314176,79.66670862465342,82.0,4.406719247264253
1646,BLT-01,141577.55,456881.76,1872.431430576336,21.05733,2.337666,122.37544947053402,2.032828276,77.59483078584162,79.66670862465342,82.0,4.406719247264253
1647,BLT-01,141577.55,456881.76,1872.504077018644,21.12356,2.341455,122.37544947053402,2.032828276,77.59777564384277,79.66670862465342,82.0,4.406719247264253
1648,BLT-01,141577.55,456881.76,1872.5767234609511,20.96469,2.344605,122.37544947053402,2.032828276,77.60072047714516,79.66670862465342,82.0,4.406719247264253
1649,BLT-01,141577.55,456881.76,1872.6493699032587,20.68369,2.345719,122.37544947053402,2.032828276,77.60366528574883,79.66670862465342,82.0,4.406719247264253
1650,BLT-01,141577.55,456881.76,1872.7220163455663,20.32898,2.34797,122.37544947053402,2.032828276,77.60661006965377,79.66670862465342,82.0,4.406719247264253
1651,BLT-01,141577.55,456881.76,1872.7946627878744,20.02371,2.351089,122.37544947053402,2.032828276,77.60955482886001,79.66670862465342,82.0,4.406719247264253
1652,BLT-01,141577.55,456881.76,1872.867309230182,19.7909,2.354877,122.37544947053402,2.032828276,77.61249956336752,79.66670862465342,82.0,4.406719247264253
1653,BLT-01,141577.55,456881.76,1872.9399556724895,19.57748,2.358948,122.37544947053402,2.032828276,77.61544427317628,79.66670862465342,82.0,4.406719247264253
1654,BLT-01,141577.55,456881.76,1873.0126021147971,19.18582,2.363257,122.37544947053402,2.032828276,77.61838895828632,79.66670862465342,82.0,4.406719247264253
1655,BLT-01,141577.55,456881.76,1873.085248557105,18.91813,2.365921,122.37544947053402,2.032828276,77.62133361869765,79.66670862465342,82.0,4.406719247264253
1656,BLT-01,141577.55,456881.76,1873.1578949994127,18.77358,2.366535,122.37544947053402,2.032828276,77.62427825441026,79.66670862465342,82.0,4.406719247264253
1657,BLT-01,141577.55,456881.76,1873.2305414417203,18.64244,2.364929,122.37544947053402,2.032828276,77.62722286542412,79.66670862465342,82.0,4.406719247264253
1658,BLT-01,141577.55,456881.76,1873.303187884028,18.47631,2.361582,122.37544947053402,2.032828276,77.63016745173927,79.66670862465342,82.0,4.406719247264253
1659,BLT-01,141577.55,456881.76,1873.375834326336,18.43858,2.358591,122.37544947053402,2.032828276,77.6331120133557,79.66670862465342,82.0,4.406719247264253
1660,BLT-01,141577.55,456881.76,1873.4484807686435,18.53229,2.356445,122.37544947053402,2.032828276,77.63605655027337,79.66670862465342,82.0,4.406719247264253
1661,BLT-01,141577.55,456881.76,1873.5211272109516,18.74163,2.355537,122.37544947053402,2.032828276,77.63900106249235,79.66670862465342,82.0,4.406719247264253
1662,BLT-01,141577.55,456881.76,1873.593773653259,18.92069,2.355472,122.37544947053402,2.032828276,77.64194555001258,79.66670862465342,82.0,4.406719247264253
1663,BLT-01,141577.55,456881.76,1873.6664200955663,19.12958,2.355829,122.37544947053402,2.032828276,77.64489001283408,79.66670862465342,82.0,4.406719247264253
1664,BLT-01,141577.55,456881.76,1873.7390665378744,19.37701,2.356317,122.37544947053402,2.032828276,77.64783445095689,79.66670862465342,82.0,4.406719247264253
1665,BLT-01,141577.55,456881.76,1873.811712980182,19.64332,2.356565,122.37544947053402,2.032828276,77.65077886438094,79.66670862465342,82.0,4.406719247264253
1666,BLT-01,141577.55,456881.76,1873.8843594224893,19.55196,2.354701,122.37544947053402,2.032828276,77.65372325310625,79.66670862465342,82.0,4.406719247264253
1667,BLT-01,141577.55,456881.76,1873.9570058647976,19.23993,2.352575,122.37544947053402,2.032828276,77.65666761713288,79.66670862465342,82.0,4.406719247264253
1668,BLT-01,141577.55,456881.76,1874.0296523071047,18.95683,2.351126,122.37544947053402,2.032828276,77.65961195646075,79.66670862465342,82.0,4.406719247264253
