DEPT,GR,DT,RHOB,DRHO
2181.2004,97.370544,69.047318,,
2181.1004,95.250443,68.934982,,
2181.0004,93.877869,68.797928,,
2180.9004,93.798782,68.632126,,
2180.8004,94.546509,68.405716,,
2180.7004,95.042419,67.807312,,
2180.6004,95.357056,66.090347,,
2180.5004,95.893509,63.649399,,
2180.4004,97.031067,61.941895,,
2180.3004,98.23259,62.08725,,
2180.2004,98.914474,63.924873,,
2180.1004,99.265076,65.983398,,
2180.0004,99.274445,67.525986,,
2179.9004,99.115051,68.545639,,
2179.8004,99.005814,69.344742,,
2179.7004,99.010178,69.999527,,
2179.6004,99.007339,70.481461,,
2179.5004,98.708557,70.80542,,
2179.4004,97.8694,70.925064,,
2179.3004,96.849701,70.793137,,
2179.2004,96.867752,70.541367,,
2179.1004,98.246872,70.574265,,
2179.0004,100.172165,71.608337,,
2178.9004,102.579651,73.960434,,
2178.8004,105.25766,76.796661,,
2178.7004,107.298645,79.032089,,
2178.6004,106.705841,80.822083,,
2178.5004,101.965958,82.402298,,
2178.4004,94.782196,83.710159,,
2178.3004,88.052109,84.541885,,
2178.2004,84.941422,85.461395,,
2178.1004,85.90184,87.20192,,
2178.0004,89.421371,89.056274,,
2177.9004,93.672989,90.452866,,
2177.8004,97.683334,91.094879,,
2177.7004,101.473328,90.592056,,
2177.6004,104.99173,87.738037,,
2177.5004,108.051743,82.521317,,
2177.4004,110.382431,78.345779,,
2177.3004,111.919098,76.88559,,
2177.2004,113.224716,76.349121,,
2177.1004,113.846619,76.09491,,
2177.0004,113.474091,76.189163,,
2176.9004,112.533798,76.49794,,
2176.8004,111.473251,76.727844,,
2176.7004,110.820587,76.563797,,
2176.6004,110.595856,75.925735,,
2176.5004,110.958847,74.953888,,
2176.4004,111.675674,73.930191,,
2176.3004,112.191574,73.150391,,
2176.2004,112.003357,72.738663,,
2176.1004,111.097519,72.658752,,
2176.0004,109.818069,72.75856,,
2175.9004,108.479324,72.871582,,
2175.8004,107.43103,73.004761,,
2175.7004,107.536148,73.312195,,
2175.6004,108.342804,73.79834,,
2175.5004,108.928375,74.45079,,
2175.4004,109.192398,75.31575,,
2175.3004,108.962204,76.310989,,
2175.2004,108.285736,77.100906,,
2175.1004,107.709335,77.295593,,
2175.0004,107.411163,76.875076,,
2174.9004,107.274658,76.160339,,
2174.8004,107.197479,75.421051,,
2174.7004,106.86441,75.519669,,
2174.6004,106.101913,76.680298,,
2174.5004,104.296951,78.376068,,
2174.4004,101.965714,80.270645,,
2174.3004,99.792679,82.02626,,
2174.2004,100.726318,83.136856,,
2174.1004,104.581802,83.17598,,
2174.0004,110.456528,82.380356,,
2173.9004,120.256897,81.381866,,
2173.8004,131.152618,80.570663,,
2173.7004,139.756104,79.957733,,
2173.6004,144.470886,79.507431,,
2173.5004,145.762207,79.368011,,
2173.4004,143.275513,79.568771,,
2173.3004,137.996399,79.806259,,
2173.2004,131.80069,79.934067,,
2173.1004,125.968567,80.023224,,
2173.0004,121.796646,80.39357,,
2172.9004,119.276627,81.045975,,
2172.8004,118.71524,81.773117,,
2172.7004,119.164093,81.99855,,
2172.6004,119.651688,81.902985,,
2172.5004,119.013367,82.0121,,
2172.4004,117.637192,82.384048,,
2172.3004,116.098099,82.653214,,
2172.2004,114.685394,82.475128,,
2172.1004,113.370697,81.817871,,
2172.0004,112.07309,80.892426,,
2171.9004,110.929367,79.892731,,
2171.8004,110.016464,78.814438,,
2171.7004,109.329758,77.84816,,
2171.6004,108.991364,77.424164,,
2171.5004,108.943863,77.179077,,
2171.4004,109.097656,77.096207,,
2171.3004,109.24852,78.220093,,
2171.2004,108.980331,80.108948,,
2171.1004,108.009689,81.780411,,
2171.0004,106.699997,83.738586,,
2170.9004,105.447098,86.581039,,
2170.8004,104.261017,89.585388,,
2170.7004,103.423187,90.07486,,
2170.6004,103.135666,88.135071,,
2170.5004,103.395416,86.356033,,
2170.4004,103.400864,85.347046,,
2170.3004,102.394669,84.472,,
2170.2004,100.231659,83.07811,,
2170.1004,97.568298,81.388107,,
2170.0004,95.45372,79.692413,,
2169.9004,93.933182,77.85643,,
2169.8004,93.029434,75.941193,,
2169.7004,92.713608,74.190491,,
2169.6004,93.480652,72.697189,,
